sep=|
ESTADO|DISTRITO|PARTIDO|CANDIDATO_PROPIETARIO|CANDIDATO_SUPLENTE
0|0|CI_01|ISMAEL FIGUEROA FLORES| 
0|0|CI_02|LORENA OSORNIO ELIZONDO| 
0|0|CI_03|XAVIER GONZALEZ ZIRION| 
0|0|CI_04|JULIO CAZARES RIOS| 
0|0|CI_05|SERGIO ABRAHAM MENDEZ MOISSEN| 
0|0|CI_06|FERNANDO HIRAM ZURITA JIMENEZ| 
0|0|CI_07|GERARDO CLETO LÓPEZ BECERRA 'CLETO'| 
0|0|CI_08|SERGIO GABRIEL GARCIA COLORADO| 
0|0|CI_09|NAZARIO NORBERTO SANCHEZ| 
0|0|CI_10|RICARDO ANDRES PASCOE PIERCE| 
0|0|CI_11|ENRIQUE PEREZ CORREA| 
0|0|CI_12|MARTHA PATRICIA PATIÑO FIERRO 'PATY PATIÑO'| 
0|0|CI_13|JORGE EDUARDO PASCUAL LOPEZ| 
0|0|CI_14|ALVARO LUNA PACHECO| 
0|0|CI_15|ALEXIS EMILIANO ORTA SALGADO| 
0|0|CI_16|ELSA DE GUADALUPE CONDE RODRIGUEZ 'ELSA CONDE'| 
0|0|CI_17|JUAN MARTIN SANDOVAL DE ESCURDIA| 
0|0|CI_18|ALEJANDRO DE SANTIAGO PALOMARES SAENZ| 
0|0|CI_19|ANA ZELTZIN ZITLALLI MORALES FLORES| 
0|0|CI_20|BLANCA IVETH MAYORGA BASURTO| 
0|0|CI_21|NATALIA EUGENIA CALLEJAS GUERRERO| 
0|0|PAN|SANTIAGO CREEL MIRANDA| 
0|0|PAN|MARGARITA SALDAÑA HERNANDEZ| 
0|0|PAN|MAURICIO TABE ECHARTEA| 
0|0|PAN|KENIA LOPEZ RABADAN| 
0|0|PAN|CARLOS GELISTA GONZALEZ| 
0|0|PAN|MARIA TERESA GOMEZ MONT Y URUETA| 
0|0|PAN|GONZALO ALTAMIRANO DIMAS| 
0|0|PAN|MARIA DEL CARMEN SEGURA RANGEL| 
0|0|PAN|JOSE LUIS LUEGE TAMARGO| 
0|0|PAN|ALICIA GALVAN LOPEZ| 
0|0|PAN|JORGE ALBERTO LARA RIVERA| 
0|0|PAN|AMERICA ALEJANDRA RANGEL LORENZANA| 
0|0|PAN|EDUARDO ISMAEL AGUILAR SIERRA| 
0|0|PAN|LORENA RIOS MARTINEZ| 
0|0|PAN|HECTOR SAUL  TELLEZ HERNANDEZ| 
0|0|PAN|MONICA LETICIA SERRANO PEÑA| 
0|0|PAN|JORGE PALACIOS ARROYO| 
0|0|PAN|SILVIA ESTHER PEREZ CEBALLOS| 
0|0|PAN|JESUS RAUL SANCHEZ SANCHEZ| 
0|0|PAN|ROSAURA VIRGINIA DENEGRE VAUGHT RAMIREZ| 
0|0|PAN|ALEJANDRO AVILES GOMEZ| 
0|0|PAN|SANDRA SUSANA MARTINEZ CASTRO| 
0|0|PAN|JORGE REAL SANCHEZ| 
0|0|PAN|MARIA TERESA GUADALUPE TOCA GUTIERREZ| 
0|0|PAN|LEOVIGILDO CHAVEZ LOPEZ| 
0|0|PAN|MARIA GUADALUPE CHAPELA Y MENDOZA| 
